item_code,item_description,item_type,supplier
345083,DOM LECCIA PATRIMONIO BLC - 750ML,WINE,A VINTNERS SELECTIONS
345089,CAST BANFI BRUNELLO - 750ML,WINE,REPUBLIC NATIONAL DISTRIBUTING CO
345091,MASTROBERARDINO RADICI FIANO DI AVELLINO - 750ML,WINE,"THE COUNTRY VINTNER, LLC DBA WINEBOW"
345093,NIKOLAIHOF HEFEABZUG GR-VELT - 750ML,WINE,"THE COUNTRY VINTNER, LLC DBA WINEBOW"
345099,DARTING DURK HOCH RIES KAB - 750ML,WINE,A VINTNERS SELECTIONS
345111,FONTANA CANDIDA ROMA BIANCO - 750ML,WINE,REPUBLIC NATIONAL DISTRIBUTING CO
345113,SIEMA VYDS P/GRIG - 750ML,WINE,PUNTO VINO LLC
345114,FONTANA CANDIDA ROMA ROSSO - 750ML,WINE,REPUBLIC NATIONAL DISTRIBUTING CO
345116,LALUCA SPK ROSE - 750ML,WINE,OPICI FAMILY DISTRIBUTING OF MD
345118,SEIGNEUR DE GREZETTE MALB - 750ML,WINE,LANTERNA DISTRIBUTORS INC
345123,MUGA PRADO ENEA GR RESA GIFT SET W/ DECANTER - 750ML,WINE,A VINTNERS SELECTIONS
345124,TWENTY BENCH NORTH COAST CAB - 750ML,WINE,"THE COUNTRY VINTNER, LLC DBA WINEBOW"
345126,ROBERT SINSKEY SLD CAB - 750ML,WINE,A VINTNERS SELECTIONS
345130,CAVINO NEMEA GRANDE RES - 750ML,WINE,DIONYSOS IMPORTS INC
345142,90+ CELLARS LOT 50 PROSECCO - 1.5L,WINE,LATITUDE BEVERAGE COMPANY
345144,FONTANIELS MER 15 - 750ML,WINE,FIVE GRAPES LLC
345149,PARCEL 41 S/BLC - 750ML,WINE,A VINTNERS SELECTIONS
345151,REX GOLIATH MALB - 750ML,WINE,REPUBLIC NATIONAL DISTRIBUTING CO
345153,ALLAN SCOTT S/BLC - 20L,WINE,A VINTNERS SELECTIONS
345157,CATENA CHARD VISTA FLORES - 750ML,WINE,A VINTNERS SELECTIONS
345159,CATENA CAB VISTA FLORES - 750ML,WINE,A VINTNERS SELECTIONS
345164,CH LES GRANDES MOTTES - 750ML,WINE,MONSIEUR TOUTON SELECTION
345166,CH BICHON CASSIGNOLS RED - 750ML,WINE,OSLO ENTERPRISE
345168,JACOPO POLI MOSCATO GRAPPA - 375ML,LIQUOR,"THE COUNTRY VINTNER, LLC DBA WINEBOW"
345170,RUCA MALEN PET VER RESA - 750ML,WINE,OPICI FAMILY DISTRIBUTING OF MD
345176,CORRIDOR VODKA - 750ML,LIQUOR,OPICI FAMILY DISTRIBUTING OF MD
345178,CHECKERBARK AMERICAN DRY GIN - 750ML,LIQUOR,OPICI FAMILY DISTRIBUTING OF MD
345188,LUJON RIES - 750ML,WINE,PWSWN INC
345192,SMITH & HOOK PROPRIETARY RED - 750ML,WINE,"THE COUNTRY VINTNER, LLC DBA WINEBOW"
345196,LUIGI BAUDANA BARO CERRETTA - 750ML,WINE,"THE COUNTRY VINTNER, LLC DBA WINEBOW"
345203,KINDZMARAULI JUG CERAMIC - 750ML,WINE,INTERBALT PRODUCTS CORP
345205,KINDZMARAULI ARGO CERAMIC - 750ML,WINE,INTERBALT PRODUCTS CORP
345207,KINDZMARAULI ORSHIMO CERAMIC - 750ML,WINE,INTERBALT PRODUCTS CORP
345209,ARTEVANI KINDZMARAULI - 750ML,WINE,INTERBALT PRODUCTS CORP
345210,GUIGAL COTE ROTIE BLB - 750ML,WINE,REPUBLIC NATIONAL DISTRIBUTING CO
345213,ARTEVANI SAPERAVI - 750ML,WINE,INTERBALT PRODUCTS CORP
345215,ARTEVANI RKATSITELI ORSHIMO CERAMIC - 750ML,WINE,INTERBALT PRODUCTS CORP
345217,ARTEVANI SAPERAVI ORSHIMO CERAMIC - 750ML,WINE,INTERBALT PRODUCTS CORP
345219,CAMBRIDGE AND SUNSET MER 14 - 750ML,WINE,CONSTANTINE WINES INC
345227,BIRGIT EICHINGER GAISBERG RIES RES - 750ML,WINE,OPICI FAMILY DISTRIBUTING OF MD
345229,MONTE D'EGLI ANGELI P/NOIR - 750ML,WINE,MONSIEUR TOUTON SELECTION
345230,PERLAGE P/GRIG 15 - 750ML,WINE,CONSTANTINE WINES INC
345239,MUMM NAPA CUVEE M - 750ML,WINE,REPUBLIC NATIONAL DISTRIBUTING CO
345241,FLORA SPRINGS FAMILY SEL CHARD - 750ML,WINE,OPICI FAMILY DISTRIBUTING OF MD
345243,FLORA SPRINGS NAPA S/BLC - 750ML,WINE,OPICI FAMILY DISTRIBUTING OF MD
345245,RUDI PICHLER GR-VELT TERRASSEN - 750ML,WINE,A VINTNERS SELECTIONS
345249,STELLA MONT-ABRZ - 1.5L,WINE,"THE COUNTRY VINTNER, LLC DBA WINEBOW"
345251,WAKEFIELD SHZ - 750ML,WINE,LANTERNA DISTRIBUTORS INC
345253,CATENA LUNLUNTA MALB - 750ML,WINE,"THE COUNTRY VINTNER, LLC DBA WINEBOW"
345255,BESSERAT DE BELLEFON CUV DES MOINES BL/BL BRUT - 750ML,WINE,"THE COUNTRY VINTNER, LLC DBA WINEBOW"
345259,MOUNT EDEN EST P/NOIR 13 - 750ML,WINE,CONSTANTINE WINES INC
345261,FIREBIRDS NAPA RED - 750ML,WINE,REPUBLIC NATIONAL DISTRIBUTING CO
345263,FIREBIRDS SONOMA CHARD - 750ML,WINE,REPUBLIC NATIONAL DISTRIBUTING CO
345267,SWANSON CYGNET MER - 750ML,WINE,REPUBLIC NATIONAL DISTRIBUTING CO
345273,SIERRA CANTABRIA RESA UNICA - 750ML,WINE,PRESTIGE BEVERAGE GROUP OF MD LLC
345274,PAVILLON DU GLANA ST JULIEN - 750ML,WINE,LANTERNA DISTRIBUTORS INC
